Boutique,"ID",Piece,Room,Nom,Name,L,P,H,Description FR,Description ENG,tags,couleur_ossature,porte_charniere,porte,fond,joue1,joue2,socle,dessus,dessus_int,# tiroir,hauteur_tiroir,tiroirs_h,# tablette,tablettes_z,porte_cases,fond_cases,joue1_cases,joue2_cases,MiseEnAvant,Section,Pied
O,001,Salon,Living,Banc,Bench,1200,400,230,"Ossature 12 arêtes, assise longue. Joues, plateau et socle — un banc d’atelier, montable et démontable.","12-edge frame, long seat. Sides, top and plinth — a workshop bench, assembleable and reversible.",banc salon assise,brut,,,,O,O,O,O,,0,,,0,,,,,,O,arete 40x40,moyen
O,002,Salon,Living,Bibliothèque,Bookcase,800,400,1942,"Colonne à ossature, cinq tablettes octogones. Dessus et socle ; les tablettes portent la collection, l’air circule entre les arêtes.","Framed column, five octagonal shelves. Top and plinth; the shelves carry the collection, air moves between the edges.",bibliotheque salon colonne,brut,,,,,,O,O,,0,,,5,344.2|651.3|958.5|1265.7|1572.8,,,,,O,arete 40x40,petit
O,003,Chambre,Bedroom,Commode,Chest of drawers,556,344,829,"Deux tiroirs Würth type B, deux tablettes. Commode à ossature, socle et plateau — rangement précis, silhouette d’arêtes.","Two Würth type B drawers, two shelves. Framed chest with plinth and top — precise storage, an edge silhouette.",commode chambre rangement,brut,,,,,,O,O,,2,188,188|188,2,454|615.5,,,,,O,arete 30x30,petit
O,004,Couloir / entrée,Hall / entry,Servante A3,Console A3,570,400,922,"Servante à quatre tiroirs (deux hauts 188 mm, deux 110 mm) et une tablette. Format large, ossature 30×30, plateau et socle.","Four-drawer serving piece (two 188 mm, two 110 mm) and one shelf. Wide format, 30×30 frame, top and plinth.",servante entree rangement,brut,,,,,,O,O,,4,188,188|188|110|110,1,704,,,,,,arete 30x30,petit
O,005,Couloir / entrée,Hall / entry,Servante A4,Console A4,360,400,922,"Servante étroite à quatre tiroirs (deux hauts 188 mm, deux 110 mm) et une tablette. Même langage que la A3, plus compacte en longueur.","Narrow four-drawer serving piece (two 188 mm, two 110 mm) and one shelf. Same language as the A3, shorter in length.",servante entree rangement compact,brut,,,,,,O,O,,4,188,188|188|110|110,1,704,,,,,,arete 30x30,petit
O,006,Chambre,Bedroom,Table chevet,Bedside table,300,300,500,"Chevet compact : deux tiroirs Würth 110 mm, une tablette, plateau supérieur. Ossature 30×30, au plus près du lit.","Compact bedside: two 110 mm Würth drawers, one shelf, top panel. 30×30 frame, close to the bed.",chevet chambre tiroir,brut,,,,,,,O,,2,110,110|110,1,298,,,,,,arete 30x30,
O,007,Chambre,Bedroom,Buffet,Buffet,650,400,922,,,buffet chambre tiroir,brut,,,,,,,,,,,,,,,,,,,,
O,008,Chambre,Bedroom,Dressing,Dressing,650,400,2000,,,dressing chambre,brut,double,O,,,,,,,,,,,,,,,,,,
O,009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
